cam_fov=90 cam_x=-0.402659386 cam_y=0 cam_z=-9.99188995 cam_quat_x=-0.489830047 cam_quat_y=-0.509967148 cam_quat_z=0.509967148 cam_quat_w=-0.489830047
id=1 pos_x=7.48799467 pos_y=10 pos_z=-12.4882135 quat_x=-0.868022203 quat_y=2.17038139e-08 quat_z=0.496525377 quat_w=3.79424563e-08
id=2 pos_x=4.30332708 pos_y=10 pos_z=12.4942055 quat_x=0.497327864 quat_y=3.79223692e-08 quat_z=0.867562652 quat_w=-2.17388916e-08
id=3 pos_x=1.47537959 pos_y=10 pos_z=-6.22506952 quat_x=0.721365213 quat_y=3.02725347e-08 quat_z=0.692554832 quat_w=-3.15318758e-08
id=4 pos_x=7.13374519 pos_y=10 pos_z=-5.55400324 quat_x=0.454216659 quat_y=3.8942094e-08 quat_z=0.890891254 quat_w=-1.98544399e-08
id=5 pos_x=11.6070127 pos_y=10 pos_z=-6.03027916 quat_x=-0.903535783 quat_y=1.87308817e-08 quat_z=0.428512633 quat_w=3.94948039e-08
id=6 pos_x=-3.3922534 pos_y=10 pos_z=11.2071953 quat_x=-0.997727692 quat_y=2.94508751e-09 quat_z=0.0673757493 quat_w=4.36120615e-08
id=7 pos_x=8.99627399 pos_y=10 pos_z=10.722085 quat_x=-0.96239388 quat_y=1.18745485e-08 quat_z=0.271658003 quat_w=4.20675725e-08
id=8 pos_x=1.13578546 pos_y=10 pos_z=9.07538033 quat_x=-0.996472657 quat_y=3.66817843e-09 quat_z=0.0839181393 quat_w=4.35572041e-08
id=9 pos_x=-10.534914 pos_y=10 pos_z=-11.0169601 quat_x=-0.944968462 quat_y=1.43006806e-08 quat_z=0.327161431 quat_w=4.13058849e-08
id=10 pos_x=3.25003815 pos_y=10 pos_z=2.96876645 quat_x=-0.998628378 quat_y=2.2886284e-09 quat_z=0.0523577146 quat_w=4.36514327e-08
id=11 pos_x=-5.80459881 pos_y=10 pos_z=3.03459167 quat_x=-0.703053534 quat_y=3.10847845e-08 quat_z=0.711136937 quat_w=3.07314458e-08
id=12 pos_x=11.6476545 pos_y=10 pos_z=6.19921827 quat_x=-0.950919569 quat_y=1.35259679e-08 quat_z=0.30943808 quat_w=4.15660146e-08
id=13 pos_x=11.1712208 pos_y=10 pos_z=-1.3544873 quat_x=0.356037527 quat_y=4.08470555e-08 quat_z=0.934471667 quat_w=-1.5562895e-08
id=14 pos_x=-4.26458883 pos_y=10 pos_z=-10.6250048 quat_x=-0.29621163 quat_y=4.17497255e-08 quat_z=0.955122352 quat_w=1.29478215e-08
id=15 pos_x=-1.96283889 pos_y=10 pos_z=5.38287592 quat_x=0.323951691 quat_y=4.13541912e-08 quat_z=0.946073651 quat_w=-1.41603778e-08
